Company,CEO,CityofBirth,StateofBirth,Age,Undergrad,UGDegree,UGDate,AgeOfUnder,Graduate,GradDegree,MBA?,MasterPhd?,G_Date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,Other,StGains,TotalComp,Compfor5Yrs,StockOwned,Sales,Profits,ReturnOver5Yrs,Industry,Industry Code,WideIndustry,Log10TotalComp
Fund American Enterp,Mr. John J Byrne,Passaic,NJ,61.0,Rutgers,BS,54.0,21.0,U of Michigan,MS,0.0,1.0,59.0,26.0,9.0,9.0,550000.0,165000,4844980.0,1.06118e+007,16171700.0,80808800.0,7.705,251.0,70.4,20.0,Financial services-leasefinance,1.0,Financial,7.208755676171837
Franklin Resources,Mr. Charles B Johnson,Montclair,NJ,61.0,Yale,BA,54.0,21.0,,none,0.0,0.0,,,37.0,23.0,425570.0,216535,21006.0,,663111.0,2747770.0,19.537,712.0,199.8,33.0,Financial services-leasefinance,1.0,Financial,5.8215862322547585
Sallie Mae,Mr. Lawrence A Hough,Janesville,WI,50.0,Stanford U,BS,66.0,22.0,MIT,MS,0.0,1.0,72.0,28.0,21.0,4.0,496903.0,290000,390914.0,,1177820.0,5782620.0,0.142,2617.0,430.1,4.0,Financial services-leasefinance,1.0,Financial,6.071078924593849
Dreyfus,Mr. HowardStein,New York,NY,67.0,,,,,,none,0.0,0.0,,,39.0,23.0,237981.0,1.37422e+006,916049.0,1.13169e+006,3659940.0,12949900.0,3.123,386.0,99.4,13.0,Financial services-leasefinance,1.0,Financial,6.5634739657543815
First USA,Mr. John C Tolleson,,,46.0,,,,,,none,0.0,0.0,,,9.0,9.0,470000.0,352500,4430.0,2.26091e+006,3087840.0,10086100.0,2.07,581.0,64.1,173.0,Financial services-leasefinance,1.0,Financial,6.4896547887759555
Mercury Finance,Mr. John N Brincat,Brooklyn,NY,58.0,,,,,,none,0.0,0.0,,,10.0,9.0,251689.0,1.25e+006,8994.0,,1510680.0,13857500.0,1.375,194.0,64.7,53.0,Financial services-leasefinance,1.0,Financial,6.179172479592309
First Chicago,Mr. Richard L Thomas,Marion,OH,63.0,Kenyon C,BA,53.0,22.0,Harvard,MBA,1.0,1.0,58.0,27.0,36.0,2.0,719157.0,1.3e+006,892206.0,312729,3224090.0,5434430.0,0.294,4827.0,804.5,11.0,Financial services-multinational banks,1.0,Financial,6.508407156569101
Citicorp,Mr. John S Reed,Chicago,IL,55.0,MIT,BS,61.0,22.0,MIT,MS,0.0,1.0,65.0,26.0,29.0,10.0,1150000.0,3e+006,69000.0,177750,4396750.0,11441000.0,0.115,32196.0,1919.0,9.0,Financial services-multinational banks,1.0,Financial,6.6431317722589664
Bank of Boston,Mr. Ira Stepanian,Cambridge,MA,58.0,Tufts U,BA,58.0,22.0,Boston C,MBA,1.0,1.0,71.0,35.0,31.0,7.0,768846.0,800000,50265.0,,1619110.0,7435450.0,0.179,7396.0,274.8,2.0,Financial services-multinational banks,1.0,Financial,6.209276355096906
Continental Bank,Mr. Thomas C Theobald,Cincinnati,OH,57.0,Col of the Holy,AB,58.0,21.0,Harvard,MBA,1.0,1.0,60.0,23.0,7.0,7.0,620000.0,922500,4364.0,1.04906e+006,2595920.0,6339640.0,0.37,1761.0,258.0,15.0,Financial services-multinational banks,1.0,Financial,6.41429130442498
Republic New York,Mr. Walter H Weiner,Brooklyn,NY,63.0,U of Michigan,BA,52.0,21.0,U of Michigan,JD,0.0,1.0,53.0,22.0,14.0,14.0,220750.0,1.255e+006,7763.0,,1483510.0,5050360.0,0.078,2328.0,301.2,13.0,Financial services-multinational banks,1.0,Financial,6.171290478142029
Chemical Banking,Mr. Walter V Shipley,Newark,NJ,58.0,NYU,BS,61.0,25.0,,none,0.0,0.0,,,38.0,1.0,750000.0,1.5e+006,8994.0,,2258990.0,,0.047,12427.0,1569.0,6.0,Financial services-multinational banks,1.0,Financial,6.3539143084084415
BankAmerica,Mr. Richard M Rosenberg,Fall River,MA,64.0,Suffolk U,BS,52.0,22.0,Golden Gate U,LLB,0.0,1.0,66.0,36.0,8.0,4.0,700000.0,1.5e+006,709655.0,,2909660.0,12228700.0,0.019,15900.0,1954.0,14.0,Financial services-multinational banks,1.0,Financial,6.463842243710748
Bankers Trust New Yo,Mr. Charles S Sanford Jr,Savannah,GA,57.0,U of Georgia,BA,58.0,21.0,U of Pennsylvan,MBA,1.0,1.0,60.0,23.0,33.0,7.0,750000.0,8.1157e+006,4032650.0,2.80772e+006,15706100.0,31104000.0,0.342,7800.0,1070.0,16.0,Financial services-multinational banks,1.0,Financial,7.196068358257647
Chase Manhattan,Mr. Thomas G Labrecque,Long Branch,NJ,55.0,Villanova,BA,60.0,21.0,,none,0.0,0.0,,,30.0,4.0,750000.0,1.5e+006,1037490.0,279634,3567130.0,7058520.0,0.05,11417.0,466.0,3.0,Financial services-multinational banks,1.0,Financial,6.5523189369957295
JP MorganCo,Mr. DennisWeatherstone,England,,63.0,,,,,,none,0.0,0.0,,,48.0,4.0,700000.0,2.3544e+006,748863.0,2.02407e+006,5827330.0,17238100.0,0.064,11941.0,1723.0,14.0,Financial services-multinational banks,1.0,Financial,6.7654696127565215
BayBanks,Mr. William M Crozier Jr,Brooklyn,NY,61.0,Yale,BA,54.0,21.0,Harvard,MBA,1.0,1.0,63.0,30.0,30.0,20.0,461250.0,249844,669796.0,61710,1442600.0,3597080.0,0.25,789.0,67.7,8.0,Financial services-regional banks,1.0,Financial,6.1591459278540475
Fifth Third Bancorp,Mr. George A Schaefer Jr,Cincinnati,OH,49.0,US Military Aca,BS,67.0,22.0,Xavier U,MBA,1.0,1.0,74.0,29.0,23.0,3.0,539092.0,260000,119864.0,702823,1621780.0,4158210.0,0.177,954.0,196.4,19.0,Financial services-regional banks,1.0,Financial,6.209991940339863
First American Corp,Mr. Dennis C Bottorff,Clarksville,IN,49.0,Vanderbilt U,BE,66.0,21.0,Northwestern U,MBA,1.0,1.0,68.0,23.0,3.0,3.0,436000.0,218000,14831.0,,668831.0,1265700.0,0.296,517.0,101.9,9.0,Financial services-regional banks,1.0,Financial,5.825316394240962
Mercantile Bancorpor,Mr. Thomas H Jacobsen,Chicago,IL,54.0,Lake Forest C,BS,63.0,23.0,U of Chicago,MBA,1.0,1.0,68.0,28.0,5.0,5.0,525300.0,392662,383197.0,,1301160.0,5446510.0,0.213,893.0,117.0,17.0,Financial services-regional banks,1.0,Financial,6.114330703821088
Banc One,Mr. John B McCoy,Columbus,OH,50.0,Williams C,BA,65.0,21.0,Stanford U,MBA,1.0,1.0,67.0,23.0,27.0,10.0,972500.0,1.02e+006,732938.0,,2725440.0,11447700.0,0.125,7227.0,1120.6,20.0,Financial services-regional banks,1.0,Financial,6.435436625565425
First Alabama Bancsh,Mr. J StanleyMackin,Birmingham,AL,61.0,Auburn U,BS,54.0,21.0,,none,0.0,0.0,,,28.0,4.0,525000.0,330383,1295470.0,218369,2369230.0,5345840.0,0.248,688.0,112.0,20.0,Financial services-regional banks,1.0,Financial,6.374607223188883
Riggs National,Mr. Joe L Allbritton,D'Lo,MS,69.0,Baylor U,LLB,49.0,24.0,,none,0.0,0.0,,,13.0,13.0,380000.0,,36382.0,,416382.0,4746770.0,28.961,369.0,-94.2,-15.0,Financial services-regional banks,1.0,Financial,5.619491946896037
Bank South,Mr. Patrick L Flinn,Washington,DC,52.0,U of Illinois,BA,64.0,22.0,Georgia State U,MBA,1.0,1.0,72.0,30.0,3.0,3.0,358631.0,496084,20465.0,,875180.0,1708370.0,0.059,435.0,70.9,10.0,Financial services-regional banks,1.0,Financial,5.942097384413391
First Fidelity Banco,Mr. Anthony P Terracciano,Bayonne,NJ,55.0,St Peter's C,BS,60.0,21.0,Fordham U,MA,0.0,1.0,62.0,23.0,4.0,4.0,738462.0,475000,629186.0,275226,2117870.0,7210310.0,0.08,2429.0,396.5,14.0,Financial services-regional banks,1.0,Financial,6.325899298540406
Boatmen's Bancshares,Mr. Andrew B Craig III,Buffalo,NY,63.0,Cornell,BA,55.0,24.0,,none,0.0,0.0,,,9.0,6.0,587523.0,373750,419144.0,,1380420.0,5438500.0,0.036,2107.0,317.4,18.0,Financial services-regional banks,1.0,Financial,6.140011242872937
First Union,Mr. Edward E Crutchfield,Dearborn,MI,52.0,Davidson C,BA,63.0,21.0,U of Pennsylvan,MBA,1.0,1.0,65.0,23.0,29.0,10.0,810000.0,810000,1062580.0,,2682580.0,9609750.0,0.06,5755.0,817.5,19.0,Financial services-regional banks,1.0,Financial,6.4285526823772186
Comerica,Mr. Eugene A Miller,Detroit,MI,56.0,Detroit Tech,BBA,64.0,26.0,,none,0.0,0.0,,,39.0,5.0,600000.0,261100,74135.0,,935235.0,5327350.0,0.095,2245.0,340.6,15.0,Financial services-regional banks,1.0,Financial,5.970920751385646
SunTrust Banks,Mr. James B Williams,Sewanee,TN,61.0,Emory U,AB,55.0,22.0,,none,0.0,0.0,,,39.0,4.0,550000.0,189461,757693.0,,1497150.0,5341860.0,0.379,3089.0,473.7,19.0,Financial services-regional banks,1.0,Financial,6.175265314644166
National City,Mr. Edward B Brandon,Davenport,IA,62.0,Northwestern U,BS,53.0,21.0,U of Pennsylvan,MBA,1.0,1.0,56.0,24.0,38.0,7.0,630000.0,418560,38161.0,,1086720.0,5994850.0,0.092,2702.0,404.0,15.0,Financial services-regional banks,1.0,Financial,6.036117659891821
First Empire State,Mr. Robert G Wilmers,New York,NY,60.0,Harvard,BA,56.0,22.0,,none,0.0,0.0,,,12.0,11.0,400000.0,200000,11963.0,,611963.0,11969800.0,8.539,851.0,102.0,21.0,Financial services-regional banks,1.0,Financial,5.7867251649860965
Fleet Financial Grou,Mr. TerrenceMurray,Woonsocket,RI,54.0,Harvard,BA,62.0,22.0,,none,0.0,0.0,,,32.0,12.0,902000.0,990000,67622.0,,1959620.0,9044090.0,0.152,4678.0,488.0,11.0,Financial services-regional banks,1.0,Financial,6.292171863242608
Old National Bancorp,Mr. Dan W Mitchell,Phoenix,AZ,66.0,Indiana U,BS,50.0,22.0,,none,0.0,0.0,,,44.0,14.0,373500.0,,91914.0,,465414.0,2188210.0,0.422,284.0,42.5,16.0,Financial services-regional banks,1.0,Financial,5.667839443048903
Synovus Financial,Mr. James H Blanchard,Augusta,GA,52.0,U of Georgia,BBA,63.0,21.0,U of Georgia,LLB,0.0,1.0,65.0,23.0,24.0,24.0,288750.0,144375,115216.0,,548341.0,3483420.0,0.783,615.0,74.1,16.0,Financial services-regional banks,1.0,Financial,5.739050719726364
Roosevelt Financial,Mr. Stanley J Bradshaw,Terre Haute,IN,36.0,Indiana State U,BS,79.0,21.0,Butler U,MBA,1.0,1.0,84.0,26.0,8.0,3.0,290000.0,174000,167008.0,493515,1124520.0,2213660.0,1.267,244.0,38.1,35.0,Financial services-regional banks,1.0,Financial,6.05096718392674
First Commerce,Mr. IanArnof,McCrory,AR,54.0,Vanderbilt U,BA,61.0,21.0,Harvard,MBA,1.0,1.0,63.0,23.0,16.0,11.0,516667.0,210000,438233.0,1.41321e+006,2578110.0,5073240.0,0.505,496.0,95.2,26.0,Financial services-regional banks,1.0,Financial,6.41130144341841
Star Banc,Mr. Jerry A Grundhofer,Los Angeles,CA,50.0,Loyola Marymoun,BA,67.0,23.0,,none,0.0,0.0,,,1.0,1.0,550000.0,190743,172251.0,,912994.0,,0.027,631.0,100.3,17.0,Financial services-regional banks,1.0,Financial,5.960467923453845
First Financial Corp,Mr. John C Seramur,Milwaukee,WI,51.0,Marquette U,BS,65.0,22.0,,none,0.0,0.0,,,28.0,28.0,600000.0,260000,217794.0,169894,1247690.0,4106010.0,2.752,378.0,45.2,36.0,Financial services-regional banks,1.0,Financial,6.096106694310193
First Tennessee Nati,Mr. RalphHorn,Corinth,MS,53.0,Mississippi Sta,BS,63.0,22.0,,none,0.0,0.0,,,31.0,1.0,370192.0,185096,827777.0,,1383070.0,,0.345,857.0,120.7,23.0,Financial services-regional banks,1.0,Financial,6.1408441611970925
First Bank System,Mr. John F Grundhofer,Los Angeles,CA,55.0,Loyola U,BA,60.0,21.0,USC,MBA,1.0,1.0,64.0,25.0,4.0,4.0,587500.0,630000,460410.0,1.56752e+006,3245430.0,8174660.0,0.117,2231.0,298.0,14.0,Financial services-regional banks,1.0,Financial,6.5112722463614325
United Carolina Banc,Mr. E RhoneSasser,Columbus,NC,57.0,NC State U,BS,59.0,22.0,,none,0.0,0.0,,,27.0,11.0,360000.0,149546,27384.0,,536930.0,2236690.0,0.485,242.0,31.7,16.0,Financial services-regional banks,1.0,Financial,5.729917670065806
Commerce Bancshares,Mr. David W Kemper,Kansas City,MO,43.0,Harvard,BA,72.0,21.0,Stanford U,MBA,1.0,1.0,76.0,25.0,16.0,8.0,467500.0,150000,7816.0,111875,737191.0,4181430.0,1.291,582.0,86.9,18.0,Financial services-regional banks,1.0,Financial,5.867580024493052
FirsTier Financial,Mr. David A Rismiller,Baltimore,MD,58.0,Ohio State U,BS,59.0,23.0,,none,0.0,0.0,,,6.0,5.0,310000.0,200000,550750.0,1.8875e+006,2948250.0,6027710.0,0.581,256.0,47.9,22.0,Financial services-regional banks,1.0,Financial,6.469564307211789
OnBancorp,Mr. Robert J Bennett,Fitchburg,MA,52.0,Babson C,BS,63.0,21.0,U of Massachuse,MBA,1.0,1.0,66.0,24.0,7.0,5.0,393378.0,300000,3466.0,888625,1585470.0,3825490.0,1.144,374.0,58.0,26.0,Financial services-regional banks,1.0,Financial,6.2001580287928
US Bancorp,Mr. Gerry B Cameron,Grandview,WA,55.0,Portland State,BS,62.0,23.0,,none,0.0,0.0,,,38.0,1.0,248750.0,225000,213397.0,,687147.0,,0.087,1966.0,257.9,19.0,Financial services-regional banks,1.0,Financial,5.837049654759161
Integra Financial,Mr. William F Roemer,Youngstown,OH,60.0,Princeton,BA,55.0,21.0,,none,0.0,0.0,,,24.0,15.0,536667.0,322000,101898.0,,960565.0,3168540.0,0.063,1114.0,152.8,19.0,Financial services-regional banks,1.0,Financial,5.982526758251528
Mercantile Bankshare,Mr. H FurlongBaldwin,Baltimore,MD,62.0,Princeton,AB,54.0,22.0,,none,0.0,0.0,,,38.0,18.0,648900.0,253100,85400.0,,987400.0,4778700.0,0.38,455.0,82.4,10.0,Financial services-regional banks,1.0,Financial,5.994493122883512
SouthTrust,Mr. Wallace D Malone Jr,Dothan,AL,57.0,U of Alabama,BS,57.0,20.0,U of Pennsylvan,MBA,1.0,1.0,60.0,23.0,35.0,13.0,605016.0,363000,79891.0,,1047910.0,6933140.0,1.689,1102.0,150.5,19.0,Financial services-regional banks,1.0,Financial,6.02032398476431
State Street Boston,Mr. Marshall N Carter,Newport News,VA,54.0,US Military Aca,BSC,62.0,22.0,George Washingt,MA,0.0,1.0,76.0,36.0,3.0,2.0,643753.0,450000,23497.0,,1117250.0,3380830.0,0.001,1532.0,179.8,23.0,Financial services-regional banks,1.0,Financial,6.048150363332397
Collective Bancorp,Mr. Thomas H Hamilton,Egg Harbor City,NJ,63.0,Rutgers,BS,53.0,22.0,,none,0.0,0.0,,,39.0,32.0,292981.0,117649,25195.0,325241,761066.0,3218140.0,3.756,250.0,57.1,34.0,Financial services-regional banks,1.0,Financial,5.881422320624602
First Citizens BancS,Mr. Lewis R Holding,Smithfield,NC,66.0,U of North Caro,BS,50.0,22.0,Harvard,MBA,1.0,1.0,52.0,24.0,41.0,37.0,471274.0,41593,10173.0,,523040.0,2175340.0,9.575,451.0,55.6,,Financial services-regional banks,1.0,Financial,5.718534903236294
Deposit Guaranty,Mr. Emerson B Robinson Jr,Centreville,MS,52.0,Davidson C,BS,63.0,21.0,Harvard,MBA,1.0,1.0,67.0,25.0,27.0,10.0,364064.0,413820,22205.0,400400,1200490.0,3114590.0,0.498,374.0,66.6,16.0,Financial services-regional banks,1.0,Financial,6.079358546764635
Bank of New York,Mr. JohnCarter Bacot,Utica,NY,61.0,Hamilton C,AB,55.0,22.0,Cornell,LLB,0.0,1.0,58.0,25.0,34.0,12.0,898462.0,1.95e+006,164194.0,,3012660.0,8560330.0,0.21,3822.0,559.0,9.0,Financial services-regional banks,1.0,Financial,6.478950121233338
Michigan National,Mr. Robert J Mylod,Brooklyn,NY,54.0,St John's U NY,BA,61.0,21.0,,none,0.0,0.0,,,9.0,9.0,529259.0,,6558.0,,535817.0,10973800.0,0.651,935.0,27.8,13.0,Financial services-regional banks,1.0,Financial,5.72901648846045
MarshallIlsley,Mr. James B Wigdale,Milwaukee,WI,57.0,Stanford U,BA,59.0,22.0,,none,0.0,0.0,,,32.0,2.0,450000.0,325000,204092.0,,979092.0,,0.49,787.0,125.5,19.0,Financial services-regional banks,1.0,Financial,5.99082350203306
Dauphin Deposit,Mr. William J King,Philadelphia,PA,65.0,U of Pennsylvan,BBA,74.0,45.0,La Salle Univer,MBA,1.0,1.0,80.0,51.0,15.0,8.0,425000.0,193996,5695.0,145343,770034.0,2851380.0,0.111,360.0,64.5,14.0,Financial services-regional banks,1.0,Financial,5.886509901388575
Wachovia,Mr. Leslie M Baker Jr,Lovettsville,VA,52.0,U of Richmond,BA,64.0,22.0,U of Virginia,MBA,1.0,1.0,69.0,27.0,25.0,1.0,450000.0,247500,48395.0,176026,921921.0,,0.05,2742.0,492.1,16.0,Financial services-regional banks,1.0,Financial,5.964693707676168
Keystone Financial,Mr. Carl L Campbell,Sunbury,PA,51.0,Susquehanna U,BS,65.0,22.0,,none,0.0,0.0,,,22.0,12.0,330000.0,55940,11279.0,,397219.0,1678180.0,0.12,256.0,39.4,16.0,Financial services-regional banks,1.0,Financial,5.5990300137352405
Union Bank,Mr. KanetakaYoshida,Japan,,56.0,Tokyo U,LLB,62.0,24.0,,none,0.0,0.0,,,32.0,1.0,447308.0,,,,447308.0,,0.009,1266.0,83.1,8.0,Financial services-regional banks,1.0,Financial,5.6506066654983576
CoreStates Financial,Mr. Terrence A Larsen,Chicago,IL,47.0,U of Dallas,BA,68.0,21.0,Texas AM,PhD,0.0,1.0,71.0,24.0,17.0,6.0,647000.0,483068,322823.0,,1452890.0,6545340.0,0.083,2014.0,327.9,8.0,Financial services-regional banks,1.0,Financial,6.162232734599869
Huntington Bancshare,Mr. FrankWobst,Germany,,60.0,U of Erlangen,BA,55.0,21.0,Rutgers,MBA,1.0,1.0,64.0,30.0,20.0,13.0,760000.0,646000,93344.0,1.7771e+006,3276450.0,8297420.0,0.514,1542.0,236.9,23.0,Financial services-regional banks,1.0,Financial,6.515403544826941
Provident Bancorp,Mr. Allen L Davis,Dayton,OH,52.0,U of Cincinnati,BA,64.0,22.0,,none,0.0,0.0,,,10.0,8.0,515031.0,400000,105431.0,,1020460.0,4374090.0,0.794,325.0,51.3,15.0,Financial services-regional banks,1.0,Financial,6.0087959859068265
Norwest,Mr. Richard M Kovacevich,Tacoma,WA,50.0,Stanford U,BS,65.0,21.0,Stanford U,MS,0.0,1.0,66.0,22.0,8.0,1.0,700000.0,1.26e+006,618430.0,3.63111e+006,6209540.0,,0.165,5277.0,653.6,25.0,Financial services-regional banks,1.0,Financial,6.793059429023419
First Hawaiian,Mr. Walter A Dods Jr,Honolulu,HI,52.0,U of Hawaii,BBA,67.0,25.0,,none,0.0,0.0,,,25.0,5.0,711190.0,334021,76077.0,,1121290.0,4890590.0,0.825,512.0,78.2,13.0,Financial services-regional banks,1.0,Financial,6.0497179490014625
PNC Bank,Mr. Thomas H O'Brien,Pittsburgh,PA,57.0,U of Notre Dame,BS,58.0,21.0,Harvard,MBA,1.0,1.0,62.0,25.0,32.0,9.0,800000.0,1.2e+006,139334.0,2.025e+006,4164330.0,11187400.0,0.071,4146.0,745.3,11.0,Financial services-regional banks,1.0,Financial,6.619545137625322
Midlantic,Mr. Garry J Scheuring,Fairmont,MN,54.0,U of Notre Dame,BS,61.0,21.0,U of Chicago,MBA,1.0,1.0,64.0,24.0,3.0,3.0,650000.0,305000,7075.0,,962075.0,2712040.0,0.044,1012.0,131.4,-4.0,Financial services-regional banks,1.0,Financial,5.9832089294354285
First Virginia Banks,Mr. Robert H Zalokar,West Mineral,KS,66.0,U of Kansas,BS,50.0,22.0,,none,0.0,0.0,,,39.0,9.0,500000.0,306388,117410.0,297501,1221300.0,5142040.0,0.367,587.0,116.0,20.0,Financial services-regional banks,1.0,Financial,6.086822357099062
Sumitomo Bank of Cal,Mr. TadaichiIkagawa,Japan,,55.0,U of Kyoto,BA,61.0,22.0,,none,0.0,0.0,,,33.0,3.0,360000.0,,1000.0,,361000.0,962009.0,0.056,377.0,2.3,6.0,Financial services-regional banks,1.0,Financial,5.557507201905659
Liberty National Ban,Mr. Malcolm B Chancey Jr,Louisville,KY,62.0,U of Louisville,BA,54.0,22.0,,none,0.0,0.0,,,26.0,1.0,414000.0,66240,107556.0,,587796.0,,0.272,382.0,51.5,21.0,Financial services-regional banks,1.0,Financial,5.7692266263370735
Trustmark,Mr. Frank R Day,Aberdeen,MS,56.0,U of Mississipp,BA,53.0,15.0,,none,0.0,0.0,,,36.0,13.0,325000.0,162500,11000.0,,498500.0,1886400.0,4.353,336.0,48.6,25.0,Financial services-regional banks,1.0,Financial,5.697665162647675
Bancorp Hawaii,Mr. H HowardStephenson,Wichita,KS,64.0,U of Michigan,BA,50.0,20.0,U of Missouri,JD,0.0,1.0,58.0,28.0,35.0,5.0,591865.0,344324,509957.0,162473,1608620.0,10259900.0,0.431,938.0,132.6,16.0,Financial services-regional banks,1.0,Financial,6.206453463990819
Hibernia,Mr. Stephen A Hansel,Long Branch,NJ,46.0,Wesleyan C,BA,69.0,21.0,U of Virginia,MBA,1.0,1.0,71.0,23.0,2.0,2.0,450000.0,303750,39464.0,,793214.0,,0.108,367.0,48.0,-15.0,Financial services-regional banks,1.0,Financial,5.899390370774175
Centura Banks,Mr. Robert R Mauldin,China Grove,NC,59.0,U of North Caro,BS,59.0,24.0,,none,0.0,0.0,,,25.0,1.0,270000.0,120000,71213.0,,461213.0,,0.308,304.0,41.1,15.0,Financial services-regional banks,1.0,Financial,5.66390154005522
NationsBank,Mr. Hugh L McColl Jr,Bennettsville,SC,58.0,U of North Caro,BS,57.0,21.0,,none,0.0,0.0,,,35.0,11.0,800000.0,1.8e+006,2238040.0,,4838040.0,18496800.0,0.096,10392.0,1301.4,9.0,Financial services-regional banks,1.0,Financial,6.68466945470537
Premier Bancorp,Mr. G LeeGriffin,Leavenworth,KS,55.0,U of Texas Aust,BS,60.0,21.0,Louisiana State,MS,0.0,1.0,62.0,23.0,32.0,6.0,383750.0,234000,9298.0,,627048.0,2221510.0,0.299,336.0,67.6,31.0,Financial services-regional banks,1.0,Financial,5.797300786982604
KeyCorp,Mr. Victor J Riley Jr,Buffalo,NY,62.0,U of Notre Dame,BA,53.0,21.0,,none,0.0,0.0,,,30.0,20.0,720000.0,720000,2297930.0,,3737930.0,7316910.0,0.011,5186.0,709.9,16.0,Financial services-regional banks,1.0,Financial,6.572631164111196
Charter One Financia,Mr. Charles JohnKoch,Baltimore,MD,48.0,Lehigh U,BS,68.0,22.0,Loyola U,MBA,1.0,1.0,71.0,25.0,18.0,6.0,301629.0,278853,48947.0,151503,780932.0,2584410.0,0.722,385.0,61.4,34.0,Financial services-regional banks,1.0,Financial,5.892613219139158
BBT Financial,Mr. John A Allison IV,Charlotte,NC,45.0,U of North Caro,BBA,71.0,22.0,Duke U,MBA,1.0,1.0,74.0,25.0,23.0,5.0,370388.0,142599,102854.0,,615841.0,2700240.0,0.124,671.0,98.2,15.0,Financial services-regional banks,1.0,Financial,5.789468598956624
Wilmington Trust,Mr. Leonard W Quill,Wilmington,DE,62.0,U of Delaware,BS,59.0,27.0,U of Delaware,MBA,1.0,1.0,65.0,33.0,36.0,2.0,393333.0,333650,4497.0,461300,1192780.0,,0.38,405.0,82.8,12.0,Financial services-regional banks,1.0,Financial,6.076560348450926
Meridian Bancorp,Mr. Samuel A McCullough,Pittsburgh,PA,55.0,U of Pittsburgh,BBA,60.0,21.0,,none,0.0,0.0,,,19.0,16.0,600000.0,308500,36000.0,1.37423e+006,2318730.0,5707720.0,0.149,1247.0,150.5,14.0,Financial services-regional banks,1.0,Financial,6.365250181006734
AmSouth Bancorporati,Mr. John W Woods,Evanston,IL,62.0,U of the South,BA,54.0,22.0,,none,0.0,0.0,,,25.0,22.0,595000.0,327250,29295.0,,951545.0,5090350.0,0.197,971.0,146.2,18.0,Financial services-regional banks,1.0,Financial,5.978429331550589
Old Kent Financial,Mr. John C Canepa,Newburyport,MA,63.0,Harvard,BA,53.0,22.0,NYU,MBA,1.0,1.0,60.0,29.0,24.0,12.0,570000.0,356250,387644.0,,1313890.0,6752430.0,0.79,807.0,127.9,18.0,Financial services-regional banks,1.0,Financial,6.11855900723843
Central Fidelity Ban,Mr. Carroll L Saine,Lincolnton,NC,59.0,Lenoir-Rhyne C,BA,54.0,19.0,U of Richmond,MS,0.0,1.0,65.0,30.0,37.0,13.0,795540.0,,60253.0,266152,1121950.0,4092920.0,0.246,740.0,102.9,24.0,Financial services-regional banks,1.0,Financial,6.049973502902362
Crestar Financial,Mr. Richard G Tilghman,Norfolk,VA,53.0,U of Virginia,BA,63.0,22.0,,none,0.0,0.0,,,27.0,9.0,535000.0,280000,65067.0,418760,1298830.0,3827390.0,0.165,1081.0,140.5,16.0,Financial services-regional banks,1.0,Financial,6.113552311278253
Signet Banking,Mr. Robert M Freeman,Richmond,VA,53.0,U of Virginia,BS,63.0,22.0,,none,0.0,0.0,,,23.0,5.0,530200.0,488500,374196.0,1.90349e+006,3296380.0,6348370.0,0.256,1169.0,174.4,26.0,Financial services-regional banks,1.0,Financial,6.51803727049792
CCB Financial,Mr. Ernest C Roessler,Pittsburgh,PA,53.0,Dartmouth,BA,62.0,21.0,Dartmouth,MBA,1.0,1.0,63.0,22.0,6.0,1.0,241323.0,62986,11692.0,,316001.0,,0.116,230.0,29.2,13.0,Financial services-regional banks,1.0,Financial,5.499688456965855
Union Planters,Mr. Benjamin W Rawlins Jr,Murfreesboro,TN,56.0,Vanderbilt U,BA,61.0,23.0,Georgia State U,MBA,1.0,1.0,69.0,31.0,20.0,10.0,410000.0,200000,533133.0,271522,1414660.0,4840000.0,0.912,484.0,61.3,17.0,Financial services-regional banks,1.0,Financial,6.1506520738767225
Valley Bancorp,Mr. Peter M Platten III,Green Bay,WI,54.0,U of Wisc Madis,BBA,62.0,22.0,,none,0.0,0.0,,,29.0,5.0,373000.0,74600,55742.0,2.86314e+006,3366480.0,5440050.0,1.094,377.0,45.9,22.0,Financial services-regional banks,1.0,Financial,6.527176038701354
BanPonce,Mr. Richard L Carrion,San Juan,PR,41.0,U of Penn-Whart,BS,75.0,22.0,MIT,MS,0.0,1.0,76.0,23.0,18.0,1.0,230000.0,36814,26343.0,,293157.0,,0.696,897.0,103.2,15.0,Financial services-regional banks,1.0,Financial,5.4671002687240495
Southern National,Mr. L GlennOrr Jr,Charlotte,NC,54.0,Wofford C,BA,62.0,22.0,U of S Carolina,MBA,1.0,1.0,63.0,23.0,22.0,4.0,444184.0,217700,291322.0,,953206.0,2671120.0,0.198,438.0,75.6,10.0,Financial services-regional banks,1.0,Financial,5.979186767370065
Northern Trust,Mr. David W Fox,Aurora,IL,62.0,U of Notre Dame,BS,53.0,21.0,U of Chicago,MBA,1.0,1.0,58.0,26.0,39.0,4.0,616250.0,414982,715163.0,524792,2271190.0,7935770.0,0.306,1259.0,167.9,23.0,Financial services-regional banks,1.0,Financial,6.356253467332885
Zions Bancorporation,Mr. Harris H Simmons,Salt Lake City,UT,39.0,U of Utah,BA,77.0,22.0,Harvard,MBA,1.0,1.0,80.0,25.0,13.0,3.0,289531.0,170000,8152.0,158750,626433.0,1749440.0,3.584,346.0,51.4,31.0,Financial services-regional banks,1.0,Financial,5.796874627945807
